mmin,mmax,mstep,minwindowsize,ntests,eegchannel,stimlvl,method,tp,fp,tn,fn
208,240,33,32,2,Cz,50dB,cgst,0.0113636363636364,0.113636363636364,0.943181818181818,1
209,240,32,31,2,Cz,50dB,cgst,0,0.113636363636364,0.954545454545455,1
210,240,31,30,2,Cz,50dB,cgst,0,0.113636363636364,0.954545454545455,1
211,240,30,29,2,Cz,50dB,cgst,0.0227272727272727,0.125,0.943181818181818,1
212,240,29,28,2,Cz,50dB,cgst,0.0227272727272727,0.136363636363636,0.931818181818182,1
213,240,28,27,2,Cz,50dB,cgst,0.0340909090909091,0.147727272727273,0.931818181818182,0.988636363636364
214,240,27,26,2,Cz,50dB,cgst,0.0340909090909091,0.147727272727273,0.931818181818182,0.988636363636364
215,240,26,25,2,Cz,50dB,cgst,0.0227272727272727,0.159090909090909,0.943181818181818,1
1,240,120,119,3,Cz,50dB,cgst,0.0113636363636364,0.522727272727273,0.613636363636364,0.988636363636364
2,240,120,119,3,Cz,50dB,cgst,0.0113636363636364,0.511363636363636,0.613636363636364,0.988636363636364
3,240,119,118,3,Cz,50dB,cgst,0.0113636363636364,0.5,0.602272727272727,0.988636363636364
4,240,119,118,3,Cz,50dB,cgst,0.0113636363636364,0.5,0.602272727272727,0.988636363636364
5,240,118,117,3,Cz,50dB,cgst,0.0227272727272727,0.465909090909091,0.613636363636364,0.988636363636364
6,240,118,117,3,Cz,50dB,cgst,0.0227272727272727,0.477272727272727,0.625,0.988636363636364
7,240,117,116,3,Cz,50dB,cgst,0.0227272727272727,0.477272727272727,0.625,0.988636363636364
8,240,117,116,3,Cz,50dB,cgst,0.0227272727272727,0.454545454545455,0.613636363636364,0.988636363636364
9,240,116,115,3,Cz,50dB,cgst,0.0227272727272727,0.465909090909091,0.613636363636364,0.988636363636364
10,240,116,115,3,Cz,50dB,cgst,0.0227272727272727,0.465909090909091,0.613636363636364,0.988636363636364
11,240,115,114,3,Cz,50dB,cgst,0.0227272727272727,0.477272727272727,0.625,0.988636363636364
12,240,115,114,3,Cz,50dB,cgst,0.0227272727272727,0.488636363636364,0.625,0.988636363636364
13,240,114,113,3,Cz,50dB,cgst,0.0227272727272727,0.477272727272727,0.602272727272727,0.988636363636364
14,240,114,113,3,Cz,50dB,cgst,0.0227272727272727,0.488636363636364,0.590909090909091,0.988636363636364
15,240,113,112,3,Cz,50dB,cgst,0.0113636363636364,0.477272727272727,0.590909090909091,0.988636363636364
16,240,113,112,3,Cz,50dB,cgst,0.0113636363636364,0.477272727272727,0.579545454545455,0.988636363636364
17,240,112,111,3,Cz,50dB,cgst,0.0113636363636364,0.454545454545455,0.613636363636364,0.988636363636364
18,240,112,111,3,Cz,50dB,cgst,0.0113636363636364,0.443181818181818,0.602272727272727,0.988636363636364
19,240,111,110,3,Cz,50dB,cgst,0.0113636363636364,0.454545454545455,0.602272727272727,0.988636363636364
20,240,111,110,3,Cz,50dB,cgst,0.0113636363636364,0.431818181818182,0.590909090909091,0.988636363636364
21,240,110,109,3,Cz,50dB,cgst,0.0113636363636364,0.454545454545455,0.579545454545455,0.988636363636364
22,240,110,109,3,Cz,50dB,cgst,0.0113636363636364,0.454545454545455,0.579545454545455,0.988636363636364
23,240,109,108,3,Cz,50dB,cgst,0.0113636363636364,0.465909090909091,0.579545454545455,0.988636363636364
24,240,109,108,3,Cz,50dB,cgst,0.0227272727272727,0.477272727272727,0.590909090909091,0.988636363636364
25,240,108,107,3,Cz,50dB,cgst,0.0340909090909091,0.477272727272727,0.613636363636364,0.988636363636364
26,240,108,107,3,Cz,50dB,cgst,0.0340909090909091,0.477272727272727,0.613636363636364,0.988636363636364
27,240,107,106,3,Cz,50dB,cgst,0.0340909090909091,0.465909090909091,0.625,0.988636363636364
28,240,107,106,3,Cz,50dB,cgst,0.0227272727272727,0.454545454545455,0.625,0.988636363636364
29,240,106,105,3,Cz,50dB,cgst,0.0113636363636364,0.443181818181818,0.625,0.988636363636364
30,240,106,105,3,Cz,50dB,cgst,0.0113636363636364,0.443181818181818,0.613636363636364,0.988636363636364
31,240,105,104,3,Cz,50dB,cgst,0.0227272727272727,0.443181818181818,0.613636363636364,0.988636363636364
32,240,105,104,3,Cz,50dB,cgst,0.0227272727272727,0.454545454545455,0.613636363636364,0.988636363636364
33,240,104,103,3,Cz,50dB,cgst,0.0113636363636364,0.420454545454545,0.613636363636364,0.988636363636364
34,240,104,103,3,Cz,50dB,cgst,0.0113636363636364,0.420454545454545,0.625,0.988636363636364
35,240,103,102,3,Cz,50dB,cgst,0.0113636363636364,0.420454545454545,0.625,0.988636363636364
36,240,103,102,3,Cz,50dB,cgst,0.0113636363636364,0.420454545454545,0.625,0.988636363636364
37,240,102,101,3,Cz,50dB,cgst,0.0227272727272727,0.431818181818182,0.636363636363636,0.988636363636364
38,240,102,101,3,Cz,50dB,cgst,0.0113636363636364,0.420454545454545,0.636363636363636,0.988636363636364
39,240,101,100,3,Cz,50dB,cgst,0.0113636363636364,0.420454545454545,0.670454545454545,0.988636363636364
40,240,101,100,3,Cz,50dB,cgst,0.0227272727272727,0.431818181818182,0.625,0.988636363636364
41,240,100,99,3,Cz,50dB,cgst,0.0113636363636364,0.431818181818182,0.625,0.988636363636364
